Type,Distance0,Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Distance10,Distance11,Distance12,Distance13,Distance14,Distance15,Distance16,Distance17,Distance18,Distance19,Distance20,Distance21,Distance22,Distance23,Distance24,Distance25,Distance26,Distance27,Distance28,Distance29,Distance30,Distance31,Distance32,Distance33,Distance34,Distance35,Distance36,Distance37,Distance38,Distance39,Distance40,Distance41,Distance42,Distance43,Distance44,Distance45,Distance46,Distance47,Distance48,Distance49,Distance50,Distance51,Distance52,Distance53,Distance54,Distance55,Distance56,Distance57,Distance58,Distance59,Distance60,Distance61,Distance62,Distance63,Distance64,Distance65,Distance66,Distance67,Distance68,Distance69,Distance70,Distance71,Distance72,Distance73,Distance74,Distance75,Distance76,Distance77,Distance78,Distance79,Distance80,Distance81,Distance82,Distance83,Distance84,Distance85,Distance86,Distance87,Distance88,Distance89
0,105,106,105,74,48,102,45,108,46,49,35,7,9,93,101,99,35,42,63,96,6,38,100,36,108,92,6,47,54,74,68,81,67,56,50,7,112,111,68,118,117,80,51,107,111,110,84,7,107,71,49,74,108,109,60,8,33,75,127,124,130,60,94,61,8,138,8,138,112,169,8,62,92,110,64,6,71,94,113,56,82,93,72,93,30,33,75,7,91,65
0,76,76,75,72,64,75,75,75,87,86,85,8,85,87,54,84,85,53,8,94,7,56,132,134,56,129,61,71,6,46,82,102,114,70,8,113,112,113,97,8,95,106,6,111,111,105,104,90,63,103,53,56,103,94,102,7,104,99,104,5,103,52,101,58,8,102,6,101,97,102,8,102,81,102,80,58,84,102,102,7,89,102,102,82,8,104,8,45,102,59
0,78,78,77,193,79,7,78,78,6,64,77,7,76,56,74,75,67,8,76,75,66,75,75,8,75,74,75,47,75,74,74,65,75,8,72,74,73,75,69,74,67,6,74,49,75,75,74,8,75,75,75,46,75,75,75,47,75,74,47,6,74,53,8,75,6,75,73,75,76,75,7,75,69,76,76,7,6,77,77,8,76,50,77,80,65,122,7,7,133,58
1,55,54,55,38,55,55,54,54,54,54,9,53,54,54,0,53,53,8,54,54,53,53,54,53,54,54,53,53,54,53,53,53,53,53,53,50,53,53,54,53,53,8,53,53,53,8,54,54,54,54,54,8,54,51,54,56,55,55,55,8,56,53,57,58,8,58,50,66,64,64,64,54,66,66,64,65,64,8,63,50,64,62,63,62,63,63,63,7,63,8
1,60,60,59,57,59,59,8,59,57,58,7,58,58,56,57,58,8,6,48,58,56,58,57,52,57,58,59,59,57,57,55,58,56,59,58,58,59,49,60,8,60,7,8,8,67,8,96,72,93,8,81,7,93,8,96,60,8,96,97,7,53,57,89,106,56,106,8,64,62,63,58,63,58,62,62,61,60,60,45,46,61,7,47,61,60,60,6,60,60,49
1,67,66,67,67,66,68,7,67,67,66,7,65,67,65,59,65,66,67,67,66,52,52,66,69,68,68,8,48,58,61,68,53,52,53,7,8,52,51,51,49,51,51,52,50,51,49,49,52,50,51,52,7,52,52,51,7,50,51,49,7,51,51,7,52,50,51,51,52,51,52,52,52,7,6,53,63,6,63,64,64,9,49,60,48,61,64,6,54,64,7
1,83,82,80,70,61,82,81,7,69,7,68,54,67,8,6,60,6,62,62,60,58,6,59,60,60,59,8,59,60,52,54,58,59,59,59,60,59,61,61,55,62,8,60,8,59,49,61,60,59,59,59,51,53,50,53,6,8,52,82,48,106,52,52,51,50,115,48,114,61,115,50,114,49,115,101,82,50,114,114,61,61,61,64,60,54,46,7,48,47,45
1,81,82,81,70,82,82,7,81,81,84,82,69,81,8,46,78,79,71,50,77,59,60,59,77,76,76,62,75,6,76,76,76,57,65,75,76,57,76,75,76,76,59,76,7,75,6,49,72,51,71,65,49,75,75,53,9,76,74,73,7,73,73,50,73,59,73,7,73,72,72,73,72,9,69,72,60,56,7,72,49,70,46,6,69,70,70,7,7,72,72
